Event_Date,Event_Order,Event,Ticker,Reaction_10D_%,Volume_Change_%
2024-10-26,9,Israel Strikes Iran,BDL.NS,-1.2390991211814417,-44.518490489583826
2024-10-26,9,Israel Strikes Iran,QQ.L,-1.3634429255837133,42.17832420704619
2024-10-26,9,Israel Strikes Iran,RHM.DE,-2.0692526104455156,16.52613393472837
2024-10-26,9,Israel Strikes Iran,SAF.PA,-2.138548476689006,21.799389989475195
2024-10-26,9,Israel Strikes Iran,012450.KS,-2.322575449475528,-4.624062073508295
2024-10-26,9,Israel Strikes Iran,PLTR,-2.4435723107494756,10.258120226002344
2024-10-26,9,Israel Strikes Iran,IDR.MC,-2.5443779611354356,18.53550931361001
2024-10-26,9,Israel Strikes Iran,HO.PA,-2.6384442097229455,-15.881691445203316
2024-10-26,9,Israel Strikes Iran,AM.PA,-2.813966223338815,7.659449289395792
2024-10-26,9,Israel Strikes Iran,600760.SS,-3.0322369599947607,-35.32832110747246
2024-10-26,9,Israel Strikes Iran,079550.KS,-3.952564930586766,-38.67598170142637
2024-10-26,9,Israel Strikes Iran,000768.SZ,-3.965517172521038,-33.101972613116025
2024-10-26,9,Israel Strikes Iran,BA.L,-4.181282201236192,-28.45470102827794
2024-10-26,9,Israel Strikes Iran,NOC,-4.491408313987078,-26.726250845165655
2024-10-26,9,Israel Strikes Iran,BAB.L,-4.817812194277149,28.523301724554194
2024-10-26,9,Israel Strikes Iran,GD,-5.021391389597429,-8.266243159947162
2024-10-26,9,Israel Strikes Iran,HAL.NS,-5.231287605613066,-15.55219235573987
2024-10-26,9,Israel Strikes Iran,RTX,-5.694084837535729,-3.0154077291767
2024-10-26,9,Israel Strikes Iran,CHG.L,-5.94451017301666,64.21839630095573
2024-10-26,9,Israel Strikes Iran,KTOS,-7.967804876626017,49.454728081503795
2024-10-26,9,Israel Strikes Iran,7011.T,-8.959732331745318,-19.983191911140008
2024-10-26,9,Israel Strikes Iran,BBAI,-9.714283261980327,8.327759770883713
2024-10-26,9,Israel Strikes Iran,LMT,-10.86284658196256,-19.294893015137383
2024-10-26,9,Israel Strikes Iran,7012.T,-11.10076265203318,-21.47899656016493
2024-10-26,9,Israel Strikes Iran,HII,-27.645006586229957,476.0667308309272
2025-01-20,10,Trump Presidency,BBAI,24.161074630935243,-16.609806928269343
2025-01-20,10,Trump Presidency,PLTR,23.46875840592393,14.423816815707035
2025-01-20,10,Trump Presidency,ASB.AX,15.909091612805737,72.12450865381399
2025-01-20,10,Trump Presidency,RHM.DE,12.15880156549658,19.152038940441575
2025-01-20,10,Trump Presidency,KOG.OL,11.156698160581202,-14.71842818497281
2025-01-20,10,Trump Presidency,RTX,9.011377968112644,32.08193008008307
2025-01-20,10,Trump Presidency,KTOS,8.384591141998609,-41.93484531417906
2025-01-20,10,Trump Presidency,BDL.NS,7.900759932075951,-5.132796556592489
2025-01-20,10,Trump Presidency,SAF.PA,7.40064404565719,-9.2745158437321
2025-01-20,10,Trump Presidency,AIR.PA,6.6906776057102935,-29.67158416920498
2025-01-20,10,Trump Presidency,LDO.MI,6.569344833735102,-6.781354912264492
2025-01-20,10,Trump Presidency,BAB.L,6.540510181476433,29.554638627162877
2025-01-20,10,Trump Presidency,HO.PA,5.759868015426539,-38.253436123036636
2025-01-20,10,Trump Presidency,7011.T,5.422232807589222,58.86378754248853
2025-01-20,10,Trump Presidency,BA.L,5.247571791577088,1.1706212095096369
2025-01-20,10,Trump Presidency,IDR.MC,3.2584284536548713,51.47521882873829
2025-01-20,10,Trump Presidency,HAG.DE,3.1991302462797355,9.391434806576138
2025-01-20,10,Trump Presidency,NOC,3.0187492041637176,11.98334595003785
2025-01-20,10,Trump Presidency,ESLT,2.7983200188848256,-46.47988505747126
2025-01-20,10,Trump Presidency,047810.KS,2.107285208023324,4.84998382723294
2025-01-20,10,Trump Presidency,079550.KS,1.5695070419265544,-17.253361993490756
